season,game_type,week,gametime,away_team,away_score,home_team,home_score,result,total,overtime,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,Score_Diff,Home_Win?
2024,REG,6,9:30,JAX,16,CHI,35,19,51,0,7,7,-120,100,-1.5,-108,-112,44.5,-108,-112,0,outdoors,grass,54,3,19,1
2024,REG,6,13:00,WAS,23,BAL,30,7,53,0,7,7,230,-285,6.5,-108,-112,51.5,-110,-110,0,outdoors,grass,75,8,7,1
2024,REG,6,13:00,ARI,13,GB,34,21,47,0,7,7,195,-238,5.5,-110,-110,47,-110,-110,0,outdoors,grass,50,4,21,1
2024,REG,6,13:00,HOU,41,NE,21,-20,62,0,7,7,-265,215,-6.5,-108,-112,38.5,-112,-108,0,outdoors,fieldturf,53,5,-20,0
2024,REG,6,13:00,TB,51,NO,27,-24,78,0,10,6,-175,145,-3.5,-108,-112,42.5,-110,-110,1,dome,sportturf,,,-24,0
2024,REG,6,13:00,CLE,16,PHI,20,4,36,0,7,14,330,-425,8,-108,-112,42,-110,-110,0,outdoors,grass,82,10,4,1
2024,REG,6,13:00,IND,20,TEN,17,-3,37,0,7,13,114,-135,2.5,-110,-110,42,-112,-108,1,outdoors,grass,80,12,-3,0
2024,REG,6,16:05,LAC,23,DEN,16,-7,39,0,14,7,-155,130,-3,-105,-115,37,-108,-112,1,outdoors,grass,65,7,-7,0
2024,REG,6,16:05,PIT,32,LV,13,-19,45,0,7,7,-180,150,-3.5,-110,-110,36.5,-108,-112,0,dome,grass,,,-19,0
2024,REG,6,16:25,ATL,38,CAR,20,-18,58,0,10,7,-258,210,-6,-112,-108,45.5,-110,-110,1,outdoors,grass,79,9,-18,0
2024,REG,6,16:25,DET,47,DAL,9,-38,56,0,13,7,-180,150,-3.5,-105,-115,52.5,-110,-110,0,closed,matrixturf,,,-38,0
2024,REG,6,20:20,CIN,17,NYG,7,-10,24,0,7,7,-230,190,-4.5,-112,-108,46,-102,-118,0,outdoors,fieldturf,63,2,-10,0
2024,REG,6,20:15,BUF,23,NYJ,20,-3,43,0,8,8,-122,102,-1,-112,-108,42,-110,-110,1,outdoors,fieldturf,49,14,-3,0
2024,REG,7,20:15,DEN,33,NO,10,-23,43,0,4,4,-148,124,-2.5,-118,-102,37,-110,-110,0,dome,sportturf,,,-23,0
2024,REG,7,9:30,NE,16,JAX,32,16,48,0,7,7,240,-298,6.5,-105,-115,42,-108,-112,0,outdoors,grass,63,12,16,1
2024,REG,7,13:00,SEA,34,ATL,14,-20,48,0,10,7,136,-162,3,-115,-105,51.5,-110,-110,0,closed,fieldturf,,,-20,0
2024,REG,7,13:00,TEN,10,BUF,34,24,44,0,7,6,400,-535,9.5,-110,-110,41,-108,-112,0,outdoors,a_turf,66,12,24,1
2024,REG,7,13:00,CIN,21,CLE,14,-7,35,0,7,7,-230,190,-5.5,-110,-110,42,-112,-108,1,outdoors,grass,62,8,-7,0
2024,REG,7,13:00,HOU,22,GB,24,2,46,0,7,7,142,-170,3,100,-120,48,-108,-112,0,outdoors,grass,72,3,2,1
2024,REG,7,13:00,MIA,10,IND,16,6,26,0,14,7,130,-155,3,-120,100,44,-108,-112,0,closed,fieldturf,,,6,1
2024,REG,7,13:00,DET,31,MIN,29,-2,60,0,7,14,-102,-118,1,-108,-112,50.5,-112,-108,1,dome,sportturf,,,-2,0
2024,REG,7,13:00,PHI,28,NYG,3,-25,31,0,7,7,-166,140,-3,-120,100,42,-110,-110,1,outdoors,fieldturf,71,4,-25,0
2024,REG,7,16:05,LV,15,LA,20,5,35,0,7,14,280,-355,7,-105,-115,43,-105,-115,0,dome,matrixturf,,,5,1
2024,REG,7,16:05,CAR,7,WAS,40,33,47,0,7,7,400,-535,10,100,-120,51,-110,-110,0,outdoors,grass,76,2,33,1
2024,REG,7,16:25,KC,28,SF,18,-10,46,0,13,10,120,-142,2.5,-105,-115,47.5,-110,-110,0,outdoors,grass,78,3,-10,0
2024,REG,7,20:20,NYJ,15,PIT,37,22,52,0,6,7,-166,140,-3,-108,-112,40,-110,-110,0,outdoors,grass,60,4,22,1
2024,REG,7,20:15,BAL,41,TB,31,-10,72,0,8,8,-225,185,-4.5,-110,-110,51,-110,-110,0,outdoors,grass,80,8,-10,0
2024,REG,7,21:00,LAC,15,ARI,17,2,32,0,8,8,-122,102,-1,-115,-105,44,-108,-112,0,closed,grass,,,2,1
2024,REG,8,20:15,MIN,20,LA,30,10,50,0,4,4,-155,130,-3,-105,-115,47.5,-110,-110,0,dome,matrixturf,,,10,1
2024,REG,8,13:00,PHI,37,CIN,17,-20,54,0,7,7,124,-148,2.5,100,-120,47.5,-108,-112,0,outdoors,fieldturf,59,6,-20,0
2024,REG,8,13:00,BAL,24,CLE,29,5,53,0,6,7,-380,300,-7.5,-110,-110,44.5,-105,-115,1,outdoors,grass,52,4,5,1
2024,REG,8,13:00,TEN,14,DET,52,38,66,0,7,7,550,-800,12.5,-105,-115,45,-108,-112,0,dome,fieldturf,,,38,1
2024,REG,8,13:00,IND,20,HOU,23,3,43,0,7,7,185,-225,5,-112,-108,45,-108,-112,1,closed,astroturf,,,3,1
2024,REG,8,13:00,GB,30,JAX,27,-3,57,0,7,7,-192,160,-3.5,-115,-105,49,-112,-108,0,outdoors,grass,84,4,-3,0
2024,REG,8,13:00,ARI,28,MIA,27,-1,55,0,6,7,164,-198,4,-108,-112,46.5,-110,-110,0,outdoors,grass,82,14,-1,0
2024,REG,8,13:00,NYJ,22,NE,25,3,47,0,7,7,-305,245,-7,-110,-110,41,-110,-110,1,outdoors,fieldturf,53,8,3,1
2024,REG,8,13:00,ATL,31,TB,26,-5,57,0,7,6,-122,102,-1.5,-110,-110,47,-108,-112,1,outdoors,grass,79,6,-5,0
2024,REG,8,16:05,NO,8,LAC,26,18,34,0,10,6,250,-310,7,-110,-110,41.5,-108,-112,0,dome,matrixturf,,,18,1
2024,REG,8,16:05,BUF,31,SEA,10,-21,41,0,7,7,-170,142,-3,-120,100,45.5,-105,-115,0,outdoors,fieldturf,55,14,-21,0
2024,REG,8,16:25,CAR,14,DEN,28,14,42,0,7,10,525,-750,13,-110,-110,40.5,-112,-108,0,outdoors,grass,76,4,14,1
2024,REG,8,16:25,KC,27,LV,20,-7,47,0,7,7,-440,340,-9,-112,-108,42,-108,-112,1,dome,grass,,,-7,0
2024,REG,8,16:25,CHI,15,WAS,18,3,33,0,14,7,102,-122,1.5,-110,-110,46.5,-108,-112,0,outdoors,grass,58,2,3,1
2024,REG,8,20:20,DAL,24,SF,30,6,54,0,14,7,195,-238,5.5,-105,-115,48,-110,-110,0,outdoors,grass,69,9,6,1
2024,REG,8,20:15,NYG,18,PIT,26,8,44,0,8,8,220,-270,6,-105,-115,37.5,-110,-110,0,outdoors,grass,54,7,8,1
2024,REG,9,20:15,HOU,13,NYJ,21,8,34,0,4,4,124,-148,2.5,100,-120,43.5,-105,-115,0,outdoors,fieldturf,71,8,8,1
2024,REG,9,13:00,DAL,21,ATL,27,6,48,0,7,7,140,-166,3,-105,-115,52,-112,-108,0,closed,fieldturf,,,6,1
2024,REG,9,13:00,DEN,10,BAL,41,31,51,0,7,7,330,-440,9,-115,-105,46.5,-110,-110,0,outdoors,grass,57,3,31,1
2024,REG,9,13:00,MIA,27,BUF,30,3,57,0,7,7,230,-285,6.5,-110,-110,49,-108,-112,1,outdoors,a_turf,54,9,3,1
2024,REG,9,13:00,NO,22,CAR,23,1,45,0,7,7,-345,275,-7,-118,-102,43.5,-108,-112,1,outdoors,grass,66,7,1,1
2024,REG,9,13:00,LV,24,CIN,41,17,65,0,7,7,320,-410,8,-110,-110,45,-108,-112,0,outdoors,fieldturf,67,7,17,1
2024,REG,9,13:00,LAC,27,CLE,10,-17,37,0,7,7,-130,110,-2,-110,-110,42.5,-108,-112,0,outdoors,grass,57,10,-17,0
2024,REG,9,13:00,WAS,27,NYG,22,-5,49,0,7,6,-218,180,-4.5,-108,-112,44.5,-110,-110,1,outdoors,fieldturf,52,6,-5,0
2024,REG,9,13:00,NE,17,TEN,20,3,37,1,7,7,136,-162,3,-105,-115,38.5,-110,-110,0,outdoors,grass,75,10,3,1
2024,REG,9,16:05,CHI,9,ARI,29,20,38,0,7,7,100,-120,1.5,-110,-110,44.5,-110,-110,0,closed,grass,,,20,1
2024,REG,9,16:05,JAX,23,PHI,28,5,51,0,7,7,270,-340,7.5,-112,-108,46,-110,-110,0,outdoors,grass,57,6,5,1
2024,REG,9,16:25,DET,24,GB,14,-10,38,0,7,7,-155,130,-2.5,-120,100,47.5,-108,-112,1,outdoors,grass,50,15,-10,0
2024,REG,9,16:25,LA,26,SEA,20,-6,46,1,10,7,-125,105,-1.5,-112,-108,48.5,-110,-110,1,outdoors,fieldturf,52,4,-6,0
2024,REG,9,20:20,IND,13,MIN,21,8,34,0,7,10,240,-298,6.5,-110,-110,47,-110,-110,0,dome,sportturf,,,8,1
2024,REG,9,20:15,TB,24,KC,30,6,54,1,8,8,330,-425,9,-110,-110,45.5,-108,-112,0,outdoors,grass,63,6,6,1
2024,REG,10,20:15,CIN,34,BAL,35,1,69,0,4,4,220,-270,6,-108,-112,53,-108,-112,1,outdoors,grass,69,6,1,1
2024,REG,10,9:30,NYG,17,CAR,20,3,37,1,7,7,-298,240,-6.5,-118,-102,40.5,-115,-105,0,outdoors,,,,3,1
2024,REG,10,13:00,NE,19,CHI,3,-16,22,0,7,7,260,-325,6.5,-110,-110,37.5,-112,-108,0,outdoors,grass,60,6,-16,0
2024,REG,10,13:00,BUF,30,IND,20,-10,50,0,7,7,-230,190,-4.5,-115,-105,46.5,-108,-112,0,closed,fieldturf,,,-10,0
2024,REG,10,13:00,MIN,12,JAX,7,-5,19,0,7,7,-345,280,-7,-120,100,42.5,-108,-112,0,outdoors,grass,79,7,-5,0
2024,REG,10,13:00,DEN,14,KC,16,2,30,0,7,6,300,-380,7.5,-115,-105,42.5,-110,-110,1,outdoors,grass,57,12,2,1
2024,REG,10,13:00,ATL,17,NO,20,3,37,0,7,7,-192,160,-3.5,-112,-108,46.5,-112,-108,1,dome,sportturf,,,3,1
2024,REG,10,13:00,SF,23,TB,20,-3,43,0,14,6,-298,240,-6.5,-118,-102,50.5,-112,-108,0,outdoors,grass,85,9,-3,0
2024,REG,10,13:00,PIT,28,WAS,27,-1,55,0,13,7,102,-122,1.5,-110,-110,45,-108,-112,0,outdoors,grass,57,9,-1,0
2024,REG,10,16:05,TEN,17,LAC,27,10,44,0,7,7,300,-380,8,-108,-112,40,-110,-110,0,dome,matrixturf,,,10,1
2024,REG,10,16:25,NYJ,6,ARI,31,25,37,0,10,7,-130,110,-2,-110,-110,45.5,-108,-112,0,closed,grass,,,25,1
2024,REG,10,16:25,PHI,34,DAL,6,-28,40,0,7,7,-360,285,-7.5,-108,-112,44.5,-110,-110,1,closed,matrixturf,,,-28,0
2024,REG,10,20:20,DET,26,HOU,23,-3,49,0,7,10,-230,190,-4.5,-110,-110,49,-110,-112,0,closed,astroturf,,,-3,0
2024,REG,10,20:15,MIA,23,LA,15,-8,38,0,8,8,120,-142,2.5,-102,-118,49.5,-108,-112,0,dome,matrixturf,,,-8,0
2024,REG,11,20:15,WAS,18,PHI,26,8,44,0,4,4,190,-230,4.5,-110,-110,49.5,-110,-110,1,outdoors,grass,46,9,8,1
2024,REG,11,13:00,GB,20,CHI,19,-1,39,0,14,7,-265,215,-6,-115,-105,41,-108,-112,1,outdoors,grass,54,5,-1,0
2024,REG,11,13:00,JAX,6,DET,52,46,58,0,7,7,650,-1000,14,-105,-115,47.5,-110,-110,0,dome,fieldturf,,,46,1
2024,REG,11,13:00,LV,19,MIA,34,15,53,0,14,6,330,-425,8,-105,-115,43.5,-112,-108,0,outdoors,grass,80,16,15,1
2024,REG,11,13:00,LA,28,NE,22,-6,50,0,6,7,-198,164,-4,-108,-112,42.5,-112,-108,0,outdoors,fieldturf,59,9,-6,0
2024,REG,11,13:00,CLE,14,NO,35,21,49,0,14,7,-115,-105,-1,-110,-110,44,-110,-110,0,dome,sportturf,,,21,1
2024,REG,11,13:00,IND,28,NYJ,27,-1,55,0,7,7,170,-205,4,-110,-110,43,-110,-110,0,outdoors,fieldturf,62,4,-1,0
2024,REG,11,13:00,BAL,16,PIT,18,2,34,0,10,7,-175,145,-3,-120,100,48,-108,-112,1,outdoors,grass,52,5,2,1
2024,REG,11,13:00,MIN,23,TEN,13,-10,36,0,7,7,-290,235,-6,-118,-102,40,-110,-110,0,outdoors,grass,66,7,-10,0
2024,REG,11,16:05,ATL,6,DEN,38,32,44,0,7,7,114,-135,2,-108,-112,44.5,-112,-108,0,outdoors,grass,55,9,32,1
2024,REG,11,16:05,SEA,20,SF,17,-3,37,0,14,7,215,-265,6,-110,-110,49,-112,-108,1,outdoors,grass,59,4,-3,0
2024,REG,11,16:25,KC,21,BUF,30,9,51,0,7,7,120,-142,2.5,-108,-112,46.5,-108,-112,0,outdoors,a_turf,50,3,9,1
2024,REG,11,20:20,CIN,27,LAC,34,7,61,0,10,7,-110,-110,1,-118,-102,48,-105,-115,0,dome,matrixturf,,,7,1
2024,REG,11,20:15,HOU,34,DAL,10,-24,44,0,8,8,-360,285,-7.5,100,-120,41.5,-105,-115,0,closed,matrixturf,,,-24,0
2024,REG,12,20:15,PIT,19,CLE,24,5,43,0,4,4,-205,170,-3.5,-115,-105,36.5,-108,-112,1,outdoors,grass,36,13,5,1
2024,REG,12,13:00,KC,30,CAR,27,-3,57,0,7,14,-700,500,-11,-112,-108,43,-110,-110,0,outdoors,grass,61,5,-3,0
2024,REG,12,13:00,MIN,30,CHI,27,-3,57,1,7,7,-175,145,-3,-120,100,39.5,-108,-112,1,outdoors,grass,47,5,-3,0
2024,REG,12,13:00,TEN,32,HOU,27,-5,59,0,7,6,295,-375,8,-112,-108,40.5,-112,-108,1,closed,astroturf,,,-5,0
2024,REG,12,13:00,DET,24,IND,6,-18,30,0,7,7,-375,295,-7,-122,102,50.5,-110,-110,0,closed,fieldturf,,,-18,0
2024,REG,12,13:00,NE,15,MIA,34,19,49,0,7,7,285,-360,7.5,-115,-105,46,-108,-112,1,outdoors,grass,77,6,19,1
2024,REG,12,13:00,TB,30,NYG,7,-23,37,0,14,14,-298,240,-6.5,-108,-112,40.5,-110,-110,0,outdoors,fieldturf,50,13,-23,0
2024,REG,12,13:00,DAL,34,WAS,26,-8,60,0,6,10,455,-625,10.5,-112,-108,45,-110,-110,1,outdoors,grass,55,5,-8,0
2024,REG,12,16:05,DEN,29,LV,19,-10,48,0,7,7,-278,225,-6.5,-105,-115,41.5,-108,-112,1,dome,grass,,,-10,0
2024,REG,12,16:25,SF,10,GB,38,28,48,0,7,7,235,-290,6.5,-112,-108,44.5,-108,-112,0,outdoors,grass,43,11,28,1
2024,REG,12,16:25,ARI,6,SEA,16,10,22,0,14,7,-115,-105,-1,-110,-110,46.5,-108,-112,1,outdoors,fieldturf,45,5,10,1
2024,REG,12,20:20,PHI,37,LA,20,-17,57,0,10,7,-170,142,-3,-112,-108,49,-108,-112,0,dome,matrixturf,,,-17,0
2024,REG,12,20:15,BAL,30,LAC,23,-7,53,0,8,8,-166,140,-3,-110,-110,51,-112,-108,0,dome,matrixturf,,,-7,0
2024,REG,13,12:30,CHI,20,DET,23,3,43,0,4,4,390,-520,9.5,-102,-118,47.5,100,-120,1,dome,fieldturf,,,3,1
