season,game_type,week,gametime,away_team,away_score,home_team,home_score,result,total,overtime,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,Score_Diff,Home_Win?
2020,REG,4,20:20,PHI,25,SF,20,-5,45,0,7,7,273,-320,8.5,-116,105,45.5,-108,-103,0,outdoors,grass,84,12,-5,0
2020,REG,4,19:05,NE,10,KC,26,16,36,0,8,7,257,-299,7,-114,103,52.5,-106,-105,0,outdoors,astroturf,73,14,16,1
2020,REG,4,21:00,ATL,16,GB,30,14,46,0,8,8,195,-221,5,-110,-100,56.5,-112,100,0,outdoors,grass,53,9,14,1
2020,REG,5,20:20,TB,19,CHI,20,1,39,0,4,4,-184,164,-3.5,-102,-108,44,-109,-102,0,outdoors,grass,57,7,1,1
2020,REG,5,13:00,CAR,23,ATL,16,-7,39,0,7,6,125,-139,2.5,-101,-109,53.5,-107,-104,1,closed,fieldturf,,,-7,0
2020,REG,5,13:00,CIN,3,BAL,27,24,30,0,7,7,547,-718,12.5,-105,-105,49,-103,-108,1,outdoors,grass,69,3,24,1
2020,REG,5,13:00,JAX,14,HOU,30,16,44,0,7,7,243,-281,6.5,100,-110,55,-108,-103,1,closed,grass,,,16,1
2020,REG,5,13:00,LV,40,KC,32,-8,72,0,7,6,387,-476,11,-114,104,54.5,-102,-109,1,outdoors,astroturf,80,16,-8,0
2020,REG,5,13:00,ARI,30,NYJ,10,-20,40,0,7,10,-295,254,-7,106,-117,48.5,-112,100,0,outdoors,fieldturf,64,8,-20,0
2020,REG,5,13:00,PHI,29,PIT,38,9,67,0,7,14,312,-372,7.5,-103,-107,44,-107,-104,0,outdoors,grass,70,4,9,1
2020,REG,5,13:00,LA,30,WAS,10,-20,40,0,7,7,-305,262,-7,-101,-109,45,-108,-103,0,outdoors,grass,69,2,-20,0
2020,REG,5,16:05,MIA,43,SF,17,-26,60,0,7,7,301,-357,8.5,-119,108,50.5,-110,-101,0,outdoors,grass,73,6,-26,0
2020,REG,5,16:25,IND,23,CLE,32,9,55,0,7,7,-101,-110,1,-107,-103,48.5,-112,101,0,outdoors,grass,64,16,9,1
2020,REG,5,16:25,NYG,34,DAL,37,3,71,0,7,7,293,-347,7.5,-114,103,52,-107,-104,1,closed,fieldturf,,,3,1
2020,REG,5,20:20,MIN,26,SEA,27,1,53,0,7,7,245,-284,6.5,-105,-105,54,-112,100,0,outdoors,fieldturf,54,10,1,1
